age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
510316.2,2.0052283,1.2557714,0.4999996,0.0,0.5,0.4999996,0.0,0.3974960229,0.0
546914.3,1.9543168,1.1840196,0.4999996,0.0,0.5,0.4999996,0.0,0.3780117759,0.0
586667.4,1.9047975,1.1161767,0.4999996,0.0,0.5,0.4999996,0.0,0.3595105088,0.0
629820.3,1.8566547,1.0521052,0.4999996,0.0,0.5,0.4999996,0.0,0.3419497413,0.0
676657.0,1.809851,0.9918469,0.4999996,0.0,0.5,0.4999996,0.0,0.3252817331,0.0
727520.3,1.7643169,0.9347872,0.4999996,0.0,0.5,0.4999996,0.0,0.3094512799,0.0
782811.1,1.7199851,0.8808887,0.4999996,0.0,0.5,0.4999996,0.0,0.2944037285,0.0
842839.1,1.6768779,0.8300673,0.4999996,0.0,0.5,0.4999996,0.0,0.2801174436,0.0
907982.5,1.6349735,0.7821939,0.4999996,0.0,0.5,0.4999996,0.0,0.2665579208,0.0
978737.9,1.5941975,0.7370433,0.4999995,0.0,0.5,0.4999995,0.0,0.2536747467,0.0
1055570.0,1.554525,0.6945023,0.4999995,0.0,0.5,0.4999995,0.0,0.241435354,0.0
1138976.7,1.5159292,0.6545144,0.4999995,0.0,0.5,0.4999995,0.0,0.229808254,0.0
1229397.7,1.4784243,0.6168092,0.4999995,0.0,0.5,0.4999995,0.0,0.2187758591,0.0
1327671.9,1.4418862,0.5812681,0.4999995,0.0,0.5,0.4999995,0.0,0.2082801293,0.0
1434318.3,1.4063384,0.5478407,0.4999995,0.0,0.5,0.4999995,0.0,0.1983081816,0.0
1549990.9,1.3717564,0.5164619,0.4999995,0.0,0.5,0.4999995,0.0,0.18883414,0.0
1675470.6,1.3381001,0.4869027,0.4999995,0.0,0.5,0.4999995,0.0,0.1798293361,0.0
1811601.2,1.3053411,0.4591155,0.4999995,0.0,0.5,0.4999995,0.0,0.1712694772,0.0
1959169.7,1.2734694,0.4330263,0.4999995,0.0,0.5,0.4999995,0.0,0.1631358135,0.0
2119037.0,1.2424663,0.408525,0.4999995,0.0,0.5,0.4999995,0.0,0.1554080807,0.0
2292623.3,1.2122307,0.3854691,0.4999995,0.0,0.5,0.4999995,0.0,0.148046844,0.0
2480614.9,1.1828118,0.363819,0.4999995,0.0,0.5,0.4999995,0.0,0.1410507747,0.0
2683756.0,1.1542342,0.3435575,0.4999995,0.0,0.5,0.4999995,0.0,0.1344123681,0.0
2904181.1,1.1263494,0.3244657,0.4999995,0.0,0.5,0.4999995,0.0,0.1280848478,0.0
3143048.6,1.099167,0.3065322,0.4999994,0.0,0.5,0.4999994,0.0,0.1220594991,0.0
3400823.8,1.072765,0.2897443,0.4999994,0.0707308,0.5,0.4991342,0.0004303,0.1163416994,5.406e-07
3680092.5,1.0470126,0.2739649,0.4999994,0.1048783,0.5,0.4970017,0.0016717,0.1108883106,4.9681e-06
3982474.3,1.0219094,0.259151,0.4999994,0.1284897,0.5,0.4941405,0.0029977,0.1056889284,1.25545e-05
4309279.5,0.9974823,0.2452899,0.4999994,0.1514329,0.5,0.4898295,0.0082188,0.1006964947,6.47914e-05
4662040.0,0.9737406,0.2322978,0.4999994,0.174148,0.5,0.4836557,0.0134378,0.0959229773,0.0001408505
5043992.7,0.9505962,0.2200974,0.4999994,0.1958214,0.5,0.4755152,0.0218872,0.0912764415,0.000305286
5456576.0,0.9280895,0.2086672,0.4999994,0.2083933,0.5,0.4687337,0.0298719,0.0868215172,0.0004920234
5902192.1,0.9062057,0.1979517,0.4999994,0.2277602,0.5,0.4571904,0.0398528,0.0824827414,0.0007645679
6383360.4,0.8849379,0.1879049,0.4999994,0.2384626,0.5,0.4480924,0.0488374,0.0783440667,0.0010292263
6902493.1,0.8642879,0.1784973,0.4999994,0.2474248,0.5,0.4387234,0.0581267,0.0743640954,0.0013193315
7461837.3,0.8442647,0.1696925,0.4999994,0.2593666,0.5,0.4259201,0.072465,0.0703359023,0.0018356208
8067993.7,0.8247426,0.1614035,0.4999994,0.2652886,0.5,0.4161524,0.0805792,0.0667128359,0.0020955101
8721616.1,0.8058107,0.1536374,0.4999994,0.2739595,0.5,0.4029978,0.0945272,0.0629732363,0.002629631
9428414.5,0.7874088,0.1463485,0.4999994,0.2811796,0.5,0.3897769,0.1069151,0.0594399907,0.0030982522
10191532.1,0.7695573,0.1395179,0.4999993,0.2838899,0.5,0.3798616,0.1168348,0.0561753056,0.0034365414
11015249.2,0.7522508,0.1331229,0.4999993,0.2889968,0.5,0.3666936,0.1300217,0.0528764673,0.0039403592
11904373.7,0.7354835,0.1271397,0.4999993,0.2931269,0.5,0.3536321,0.1431144,0.0497130049,0.0044336072
12863812.2,0.7192541,0.1215507,0.4999993,0.2990967,0.5,0.3375222,0.1592776,0.0464999818,0.005095547
13897592.6,0.7035796,0.1163398,0.4999993,0.3014564,0.5,0.3248515,0.1720002,0.0436127317,0.0055480051
15017965.0,0.6883721,0.1114633,0.4999993,0.3031061,0.5,0.3124056,0.1845047,0.0408543132,0.0059688164
16220024.7,0.6737778,0.1069545,0.4999993,0.3064737,0.5,0.2972002,0.199791,0.0380574604,0.0065426191
17528297.8,0.6595948,0.1027409,0.4999993,0.3089864,0.5,0.2824196,0.214659,0.0353851694,0.0070704032
18944047.0,0.6459222,0.0988423,0.4999993,0.3107801,0.5,0.2680896,0.2304956,0.0327604707,0.0076389338
20476030.1,0.6327699,0.0952535,0.4999993,0.3138504,0.5,0.2515248,0.2457617,0.0302784274,0.0081492336
22134126.0,0.6201515,0.0919718,0.4999993,0.3152333,0.5,0.2369569,0.261093,0.0278965644,0.008639921
23932927.9,0.608057,0.0889909,0.4999993,0.3159937,0.5,0.2229889,0.2757633,0.025657762,0.0090608214
25884190.6,0.5965183,0.0863208,0.4999993,0.3178496,0.5,0.2072664,0.2903691,0.0235214647,0.0094503828
28003316.7,0.585553,0.0839677,0.4999992,0.3190407,0.5,0.1923888,0.3053763,0.0214527474,0.0098392863
30305132.9,0.5751963,0.0819487,0.4999992,0.3226367,0.5,0.1741909,0.3237404,0.0192462115,0.0104308194
32815423.1,0.565449,0.0802804,0.4999992,0.3239725,0.5,0.1592892,0.3378147,0.0174162124,0.0107029662
35553329.7,0.5563502,0.0789913,0.4999992,0.3246991,0.5,0.1454346,0.3527764,0.0156068139,0.0110109838
38550651.2,0.5479085,0.0781114,0.4999992,0.326161,0.5,0.1309471,0.3665866,0.013953298,0.0112142425
41825257.0,0.5401508,0.0776816,0.4999992,0.3295354,0.5,0.1147377,0.3830556,0.0121834912,0.011588403
45397195.2,0.5330143,0.077707,0.4999992,0.3339947,0.5,0.0983363,0.3977646,0.0106018316,0.0118318358
49300049.5,0.5263314,0.07816,0.4999992,0.3348465,0.5,0.08683,0.4114345,0.0091505793,0.0120024776
53542834.5,0.519803,0.0789145,0.4999992,0.3369553,0.5,0.074995,0.4229647,0.0079066592,0.012034642
58162238.4,0.5129266,0.0796805,0.4999991,0.3386265,0.5,0.064611,0.4345002,0.0067026334,0.012104578
63178511.6,0.5052395,0.0799646,0.4999991,0.3385421,0.5,0.0566975,0.4409022,0.005924689,0.0118504738
68694063.6,0.4964825,0.0791999,0.4999991,0.3385355,0.5,0.0496667,0.4492774,0.00503561,0.0118357709
75078945.3,0.48648,0.0767822,0.4999991,0.3346601,0.5,0.0462921,0.4523829,0.00457821,0.0115462479
83336340.2,0.4749316,0.0719826,0.4999991,0.3309824,0.5,0.0437437,0.4549975,0.0041882522,0.0114016579
92787128.1,0.465091,0.0664293,0.499999,0.3255226,0.5,0.0450015,0.453707,0.0041542067,0.0112537177
95687430.4,0.4629555,0.0650569,0.499999,0.3251133,0.5,0.0450015,0.453707,0.0041329919,0.0112761332
114280701.0,0.4576066,0.0606139,0.499999,0.3193086,0.5,0.0507216,0.4478393,0.0045175286,0.0111377491
