age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
503762.8,2.789305,3.638559,0.9999991,0.0,1.0,0.9999991,0.0,1.5490014624,0.0
540394.1,2.7172821,3.4494352,0.999999,0.0,1.0,0.999999,0.0,1.471216023,0.0
579816.7,2.6475048,3.2715694,0.999999,0.0,1.0,0.999999,0.0,1.397712442,0.0
622538.1,2.5794674,3.1003903,0.999999,0.0,1.0,0.999999,0.0,1.3278085634,0.0
668761.4,2.5132475,2.9376505,0.999999,0.0,1.0,0.999999,0.0,1.2614510899,0.0
718639.7,2.4489655,2.7829973,0.999999,0.0,1.0,0.999999,0.0,1.1986207759,0.0
772652.7,2.3863621,2.6358249,0.999999,0.0,1.0,0.999999,0.0,1.1389324901,0.0
831052.0,2.3255002,2.4952155,0.999999,0.0,1.0,0.999999,0.0,1.0823291972,0.0
894300.8,2.2662401,2.3617447,0.9999989,0.0,1.0,0.9999989,0.0,1.0285693186,0.0
962393.5,2.2088385,2.2360024,0.9999989,0.1448763,1.0,0.9982674,0.0008611,0.9777636231,4.5391e-06
1036474.1,2.1527829,2.114989,0.9999989,0.2144875,1.0,0.9939998,0.0033455,0.9293077316,4.15786e-05
1116922.8,2.098165,1.9997865,0.9999989,0.2823224,1.0,0.9854621,0.0107742,0.8830095025,0.0002793032
1204119.3,2.0451013,1.8904789,0.9999989,0.3398025,1.0,0.9731322,0.0224673,0.8386644629,0.0009096077
1298504.6,1.9936543,1.787301,0.9999989,0.3844684,1.0,0.9587393,0.03692,0.7961509348,0.0019915798
1401113.3,1.9436161,1.6897666,0.9999989,0.4341156,1.0,0.937426,0.0570516,0.7547735783,0.0039454741
1512383.3,1.8951199,1.5972758,0.9999988,0.4614536,1.0,0.920229,0.0739406,0.7154954818,0.005812327
1633554.8,1.8479895,1.5098621,0.9999988,0.5005163,1.0,0.8930303,0.1008092,0.6763184522,0.0093580161
1765359.1,1.8022856,1.4278817,0.9999988,0.5226434,1.0,0.8710182,0.122631,0.6393694048,0.0124101073
1908811.3,1.7580022,1.3508498,0.9999988,0.5498496,1.0,0.8419885,0.1515051,0.6025890807,0.0169340335
2064983.0,1.7151357,1.2784907,0.9999988,0.5641322,1.0,0.8190472,0.1776596,0.5676859516,0.0211312977
2234933.7,1.6737139,1.2111493,0.9999988,0.5794998,1.0,0.7926323,0.2007511,0.5348687203,0.0247295509
2420422.8,1.6336254,1.1483998,0.9999988,0.5954413,1.0,0.762852,0.2305329,0.5019063429,0.0298031554
2622924.1,1.5948794,1.0901,0.9999987,0.6083298,1.0,0.7331881,0.2635238,0.4694090447,0.0356708714
2843964.4,1.5574945,1.0365482,0.9999987,0.6246032,1.0,0.6973123,0.2962042,0.4381778846,0.0414698365
3084774.4,1.5215447,0.9873398,0.9999987,0.6321568,1.0,0.668419,0.3252029,0.4091531931,0.0462353389
3348515.4,1.4868624,0.9425084,0.9999987,0.6429015,1.0,0.6338101,0.35996,0.3797545065,0.0523601656
3636314.0,1.4535749,0.9024434,0.9999987,0.6511995,1.0,0.6001087,0.3938351,0.3517542039,0.0580878935
3950474.0,1.4216806,0.8666957,0.9999987,0.6549813,1.0,0.5703477,0.4237688,0.3260125408,0.0624801463
