age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
510301.2,2.2233001,1.1926376,0.4999996,0.0,0.5,0.4999996,0.0,0.485926121,0.0
545408.1,2.1662504,1.1252538,0.4999996,0.0,0.5,0.4999996,0.0,0.4619123902,0.0
583532.5,2.1107581,1.0614603,0.4999996,0.0,0.5,0.4999996,0.0,0.4391116451,0.0
624898.4,2.0568279,1.0011469,0.4999996,0.0,0.5,0.4999996,0.0,0.4174817594,0.0
669796.7,2.0043981,0.9442353,0.4999996,0.0,0.5,0.4999996,0.0,0.3969537246,0.0
718537.8,1.9534181,0.8906655,0.4999996,0.0,0.5,0.4999996,0.0,0.3774675996,0.0
771468.3,1.9038262,0.839938,0.4999996,0.0,0.5,0.4999996,0.0,0.3589628015,0.0
828919.5,1.8556032,0.792125,0.4999996,0.0,0.5,0.4999996,0.0,0.3413958565,0.0
891203.1,1.8087518,0.7470817,0.4999996,0.0,0.5,0.4999996,0.0,0.3247334081,0.0
958841.6,1.7631534,0.7045923,0.4999996,0.0,0.5,0.4999996,0.0,0.3089017757,0.0
1032218.0,1.7188162,0.6646015,0.4999996,0.0,0.5,0.4999996,0.0,0.293872649,0.0
1111802.5,1.6757039,0.6269683,0.4999996,0.0,0.5,0.4999996,0.0,0.2796040237,0.0
1198063.5,1.6337962,0.5915825,0.4999996,0.0,0.5,0.4999996,0.0,0.2660614636,0.0
1291644.3,1.5930109,0.5582805,0.4999995,0.0,0.5,0.4999995,0.0,0.2531921975,0.0
1393122.6,1.5533227,0.5269364,0.4999995,0.0,0.5,0.4999995,0.0,0.240964073,0.0
1503151.8,1.5146949,0.4974526,0.4999995,0.0,0.5,0.4999995,0.0,0.229343041,0.0
1622264.3,1.4771464,0.4697707,0.4999995,0.0,0.5,0.4999995,0.0,0.2183125767,0.0
1751134.3,1.4406501,0.4437306,0.4999995,0.0,0.5,0.4999995,0.0,0.2078428219,0.0
1891115.2,1.4050308,0.4191648,0.4999995,0.0,0.5,0.4999995,0.0,0.1978643649,0.0
2042650.2,1.3703747,0.3960671,0.4999995,0.0,0.5,0.4999995,0.0,0.1883834725,0.0
2206630.3,1.3366536,0.3743752,0.4999995,0.0,0.5,0.4999995,0.0,0.179374558,0.0
2384093.3,1.3038289,0.3539498,0.4999995,0.0,0.5,0.4999995,0.0,0.1708105478,0.0
2576034.3,1.2718843,0.3347452,0.4999995,0.0,0.5,0.4999995,0.0,0.162671186,0.0
2783529.5,1.2407965,0.3166846,0.4999995,0.0,0.5,0.4999995,0.0,0.1549352215,0.0
3007412.6,1.2105835,0.2997365,0.4999995,0.0,0.5,0.4999995,0.0,0.1475919887,0.0
3249695.1,1.1811216,0.2837588,0.4999995,0.0,0.5,0.4999995,0.0,0.140597798,0.0
3511630.0,1.1524127,0.268687,0.4999995,0.0,0.5,0.4999995,0.0,0.1339411209,0.0
3794468.8,1.1244614,0.2545137,0.4999995,0.0,0.5,0.4999995,0.0,0.127610975,0.0
4099137.1,1.0972977,0.2412022,0.4999994,0.0,0.5,0.4999994,0.0,0.1216019239,0.0
4427817.7,1.0708453,0.2286601,0.4999994,0.0,0.5,0.4999994,0.0,0.1158858618,0.0
4783188.5,1.0450189,0.2168253,0.4999994,0.0,0.5,0.4999994,0.0,0.1104344443,0.0
5166219.2,1.019873,0.2056831,0.4999994,0.0,0.5,0.4999994,0.0,0.1052497876,0.0
5578829.0,0.9953902,0.1951947,0.4999994,0.0656759,0.5,0.4991342,0.0004303,0.1003176711,4.661e-07
