age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
522153.8,2.875008,4.1134345,1.0999989,0.0,1.1,1.0999989,0.0,1.8131895487,0.0
560190.7,2.8007022,3.9030477,1.0999989,0.0,1.1,1.0999989,0.0,1.7219517288,0.0
601019.3,2.7288435,3.7051986,1.0999989,0.0,1.1,1.0999989,0.0,1.6359036819,0.0
645307.8,2.6586178,3.515122,1.0999989,0.0,1.1,1.0999989,0.0,1.5538886593,0.0
693159.2,2.5903016,3.3338118,1.0999989,0.0,1.1,1.0999989,0.0,1.4760758203,0.0
744864.2,2.5238042,3.164187,1.0999989,0.0,1.1,1.0999989,0.0,1.4022111119,0.0
800646.5,2.4592547,2.9968602,1.0999988,0.2011185,1.1,1.0963184,0.0019049,1.3322414075,1.98504e-05
861025.9,2.3964447,2.8403808,1.0999988,0.2925817,1.1,1.0879607,0.0066594,1.2656933473,0.000152521
926343.3,2.3353754,2.6923769,1.0999988,0.3337703,1.1,1.0808881,0.0120381,1.2024062049,0.0003900132
997110.9,2.275968,2.5512954,1.0999988,0.3886627,1.1,1.067935,0.0271064,1.1414313929,0.0014448646
1073585.5,2.2183794,2.4170858,1.0999988,0.4541851,1.1,1.0460929,0.048188,1.0824785471,0.0036149096
1156349.5,2.1625248,2.2900425,1.0999988,0.5051679,1.1,1.0218243,0.0719205,1.0254549272,0.0067595696
1246119.3,2.1082826,2.1699655,1.0999987,0.5330569,1.1,1.002448,0.090998,0.9714187392,0.0095627484
1343694.2,2.0555634,2.0568668,1.0999987,0.5679716,1.1,0.9754732,0.1176766,0.9181154581,0.0140675635
1449557.5,2.004469,1.949513,1.0999987,0.5859452,1.1,0.954591,0.1383936,0.8681938154,0.0175961022
1564797.6,1.9548665,1.84824,1.0999987,0.6154658,1.1,0.9225791,0.172037,0.8172960647,0.0242653201
1690093.2,1.9068314,1.7535261,1.0999987,0.6352834,1.1,0.8936833,0.1990657,0.7698789332,0.0295714724
1826326.8,1.8603821,1.6649324,1.0999987,0.6556029,1.1,0.860951,0.2317656,0.722882805,0.0364752306
1974449.6,1.8155256,1.5820306,1.0999986,0.6683473,1.1,0.8318438,0.2608857,0.6787556404,0.0424240427
2135675.4,1.7722222,1.5051663,1.0999986,0.6855215,1.1,0.7956617,0.2971284,0.6343337187,0.050443684
2311795.9,1.7303568,1.4336582,1.0999986,0.6926395,1.1,0.7670141,0.3258535,0.5938875493,0.0560590694
2503752.3,1.6900359,1.3682964,1.0999986,0.7039067,1.1,0.7317265,0.3612675,0.5530891519,0.063589172
2713275.6,1.6512305,1.3083521,1.0999986,0.7183305,1.1,0.6903323,0.4028472,0.5118557798,0.0729862221
2941598.6,1.6140167,1.2544789,1.0999986,0.7269795,1.1,0.6534517,0.4399227,0.4737348818,0.0806643674
3190979.5,1.5783486,1.2060832,1.0999985,0.7306403,1.1,0.6209037,0.4726633,0.438712206,0.0864875063
3462897.2,1.5443204,1.1636041,1.0999985,0.7421534,1.1,0.5770168,0.5168322,0.401218319,0.0959905709
3759045.7,1.5119759,1.1278507,1.0999985,0.7486548,1.1,0.5381193,0.5589464,0.365926937,0.104425535
4083207.9,1.4812288,1.0979984,1.0999985,0.7528461,1.1,0.5010599,0.5933581,0.3348994116,0.1095203667
