age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
509852.7,2.9139075,4.9476161,1.1999988,0.2898616,1.2,1.1927985,0.0040153,2.036375337,9.11432e-05
546752.3,2.8390673,4.7036529,1.1999988,0.3651107,1.2,1.184647,0.0111274,1.933920902,0.0004753087
586580.5,2.7662902,4.4702181,1.1999988,0.4210018,1.2,1.1748806,0.0153517,1.8367128421,0.0007724293
629575.0,2.6955719,4.2476809,1.1999987,0.4962263,1.2,1.1564655,0.0378045,1.7421620336,0.0033345543
676109.1,2.6267435,4.0354718,1.1999987,0.5421345,1.2,1.139617,0.0556702,1.6519131351,0.0060754073
726306.0,2.5600109,3.8359764,1.1999987,0.614469,1.2,1.1077697,0.0852879,1.5631247901,0.0118816569
780355.7,2.4955022,3.6460723,1.1999987,0.6456665,1.2,1.0863306,0.1064275,1.4800599762,0.0164239322
838702.4,2.4329781,3.4688806,1.1999987,0.6852675,1.2,1.0566055,0.1358651,1.3982792907,0.0236493673
902265.5,2.3719455,3.2979019,1.1999987,0.7115584,1.2,1.0298075,0.1624753,1.3201135563,0.030460289
971008.7,2.3128788,3.1364574,1.1999986,0.7331937,1.2,1.0025151,0.1896465,1.24514484,0.0376592972
1045540.3,2.2556412,2.9842834,1.1999986,0.7561193,1.2,0.9709495,0.2211322,1.1717596673,0.0465251103
1125993.3,2.2004559,2.8424006,1.1999986,0.774903,1.2,0.9391967,0.2528567,1.1014876308,0.0556091557
1213688.3,2.1468296,2.7076505,1.1999986,0.7899259,1.2,0.9074392,0.2846283,1.0338518396,0.0646807044
1308871.4,2.0950231,2.5824078,1.1999986,0.8101903,1.2,0.8679629,0.3241707,0.9658146226,0.0769138151
1412184.6,2.0450449,2.4649016,1.1999985,0.8226072,1.2,0.8328265,0.3594042,0.9023160852,0.0872233285
1524396.1,1.9968851,2.35666,1.1999985,0.8320944,1.2,0.7982072,0.394149,0.8417620556,0.0970416902
1646551.2,1.9504713,2.2558248,1.1999985,0.8423802,1.2,0.7604846,0.4320379,0.7823539685,0.107933036
1778775.0,1.9060858,2.1640176,1.1999985,0.8565016,1.2,0.7164155,0.4763356,0.7226077091,0.1215240457
1923342.8,1.863344,2.0796704,1.1999985,0.8642499,1.2,0.6772962,0.5156853,0.6674767734,0.1322928603
2080735.2,1.8224741,2.0052676,1.1999985,0.8723315,1.2,0.6361296,0.5571194,0.6137304502,0.143551002
2252028.5,1.7835631,1.9383727,1.1999984,0.8751546,1.2,0.5998288,0.5936756,0.5648192758,0.1517549009
2439390.1,1.7465421,1.8804261,1.1999984,0.8835052,1.2,0.5557008,0.638137,0.5141054649,0.1632503813
2643635.7,1.71166,1.8321057,1.1999984,0.8891955,1.2,0.5139255,0.6773139,0.4683364246,0.1713254615
2866365.3,1.6790576,1.7941144,1.1999984,0.9016591,1.2,0.463681,0.7268381,0.4192941024,0.1840689584
3110127.9,1.6487727,1.768273,1.1999983,0.9043874,1.2,0.4247558,0.7702051,0.375439055,0.1927622159
3376285.4,1.6211601,1.75524,1.1999983,0.9111239,1.2,0.3814915,0.8092113,0.335915767,0.1982309485
3667509.0,1.5965281,1.7565653,1.1999983,0.9250704,1.2,0.3314629,0.8644113,0.2892522956,0.2117468554
3984659.3,1.5754443,1.7756805,1.1999983,0.9282622,1.2,0.2943444,0.8981438,0.256340606,0.2124161935
4330601.2,1.5584671,1.8161784,1.1999982,0.9436056,1.2,0.247676,0.9474714,0.2161127042,0.2210651672
4697163.5,1.5465617,1.8824713,1.1999982,0.9547425,1.2,0.2089027,0.9854987,0.1840090338,0.2228455253
5063757.6,1.5406568,1.971959,1.1999982,0.9758239,1.2,0.1685608,1.0268049,0.1515134811,0.2275242617
5418764.4,1.5403771,2.0836182,1.1999981,0.9970284,1.2,0.1353109,1.0608821,0.12455688,0.2293564258
5752054.4,1.5448767,2.2125944,1.1999981,1.0207315,1.2,0.1073387,1.0903536,0.1012141687,0.2303297517
6055764.0,1.5527875,2.3532525,1.199998,1.0441735,1.2,0.0853606,1.1121368,0.0834390461,0.2284583011
6335021.3,1.5630307,2.502788,1.199998,1.0743645,1.2,0.0656327,1.132403,0.0667235309,0.2275383375
6591078.1,1.5743738,2.6576209,1.199998,1.1001366,1.2,0.0513471,1.1470881,0.0540278713,0.2242923094
6829042.4,1.5859804,2.8154416,1.1999979,1.134048,1.2,0.0382072,1.1612016,0.0414621324,0.2221620616
7054523.7,1.5971214,2.9755905,1.1999979,1.1591578,1.2,0.0293887,1.1699156,0.0331464395,0.2166267927
7268129.2,1.6068682,3.1340804,1.1999979,1.19055,1.2,0.0214673,1.1778401,0.025316144,0.2114100342
7471529.9,1.6146052,3.2877296,1.1999978,1.2190893,1.2,0.0155982,1.1838899,0.0190280643,0.2053853298
7666700.2,1.6199413,3.4351074,1.1999978,1.2467844,1.2,0.0110986,1.1887166,0.0137808877,0.1989842064
7854659.2,1.6226854,3.5745175,1.1999978,1.2730426,1.2,0.0077338,1.1920043,0.0100174921,0.19175714
8035562.7,1.6229354,3.7050959,1.1999977,1.2996836,1.2,0.0051914,1.1946302,0.0069121364,0.1845654009
8207639.9,1.6209113,3.8254379,1.1999977,1.3183156,1.2,0.0035899,1.1962849,0.0048677543,0.1771265646
8371826.7,1.6167963,3.9360437,1.1999977,1.3375273,1.2,0.0023924,1.1975227,0.0033025373,0.1699674092
8529526.2,1.6110661,4.038113,1.1999976,1.3514837,1.2,0.0016167,1.1983247,0.002258466,0.1629600462
8681040.8,1.6038164,4.1320047,1.1999976,1.3641135,1.2,0.0010711,1.198889,0.0015112375,0.1562934288
8826840.5,1.5952184,4.2180095,1.1999976,1.3738252,1.2,0.0007078,1.1992649,0.0010051497,0.1499777056
8968302.7,1.5853751,4.2969777,1.1999975,1.3820666,1.2,0.0004586,1.1995227,0.0006542614,0.1440085295
9105565.1,1.5743419,4.3687614,1.1999975,1.3912936,1.2,0.0002813,1.1997062,0.0004034138,0.1384166187
9239865.2,1.5621375,4.4337075,1.1999975,1.3948721,1.2,0.0001783,1.1998128,0.000255407,0.1331282055
