age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
522648.3,3.0091485,2.1343585,0.7999994,0.0,0.8,0.7999994,0.0,1.4184436738,0.0
560290.0,2.9300711,2.0200927,0.7999994,0.0,0.8,0.7999994,0.0,1.3464108223,0.0
601055.6,2.8532218,1.9118426,0.7999994,0.0,0.8,0.7999994,0.0,1.278136146,0.0
645261.3,2.7784559,1.8085828,0.7999994,0.0,0.8,0.7999994,0.0,1.2133550633,0.0
693169.6,2.7057826,1.7104061,0.7999994,0.0,0.8,0.7999994,0.0,1.151942814,0.0
745114.0,2.6351139,1.6172608,0.7999994,0.0,0.8,0.7999994,0.0,1.0937001008,0.0
801440.0,2.5664075,1.5285704,0.7999993,0.0,0.8,0.7999993,0.0,1.0384747623,0.0
862518.4,2.4996226,1.4444208,0.7999993,0.0,0.8,0.7999993,0.0,0.9861179304,0.0
928749.7,2.4347169,1.3645398,0.7999993,0.0,0.8,0.7999993,0.0,0.9364860619,0.0
1000579.5,2.37163,1.2889776,0.7999993,0.0,0.8,0.7999993,0.0,0.8894334218,0.0
1078549.1,2.3102685,1.2171793,0.7999993,0.0,0.8,0.7999993,0.0,0.8447948589,0.0
1163220.3,2.2505694,1.1491552,0.7999993,0.0,0.8,0.7999993,0.0,0.8024354916,0.0
1255176.2,2.1924902,1.0846384,0.7999993,0.0,0.8,0.7999993,0.0,0.7622394985,0.0
1354981.4,2.1360262,1.0235705,0.7999993,0.0,0.8,0.7999993,0.0,0.7241214949,0.0
1463333.7,2.0811253,0.9658162,0.7999992,0.0,0.8,0.7999992,0.0,0.687968688,0.0
1581083.3,2.0277015,0.9111357,0.7999992,0.0,0.8,0.7999992,0.0,0.6536525249,0.0
1709017.2,1.9757191,0.8595269,0.7999992,0.0,0.8,0.7999992,0.0,0.6210820761,0.0
1848024.8,1.925141,0.8105838,0.7999992,0.0,0.8,0.7999992,0.0,0.590168542,0.0
1999062.9,1.8759442,0.7643407,0.7999992,0.0,0.8,0.7999992,0.0,0.5608341826,0.0
2163176.6,1.8280914,0.7206244,0.7999992,0.0,0.8,0.7999992,0.0,0.5329985502,0.0
2341500.3,1.7815387,0.6793749,0.7999992,0.0,0.8,0.7999992,0.0,0.5065818105,0.0
2535217.2,1.7362523,0.6404887,0.7999992,0.0,0.8,0.7999992,0.0,0.4815134833,0.0
