age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
523395.3,2.5170231,3.1010943,0.8999992,0.0,0.9,0.8999992,0.0,1.1361428727,0.0
561638.0,2.4526512,2.9391516,0.8999991,0.0,0.9,0.8999991,0.0,1.0796386685,0.0
603073.4,2.3899098,2.783799,0.8999991,0.0,0.9,0.8999991,0.0,1.0259145156,0.0
647821.7,2.3289772,2.6361162,0.8999991,0.0,0.9,0.8999991,0.0,0.9750177933,0.0
696334.1,2.2695807,2.4955731,0.8999991,0.0,0.9,0.8999991,0.0,0.9266166016,0.0
748691.3,2.2119409,2.3623558,0.8999991,0.0,0.9,0.8999991,0.0,0.8807937877,0.0
805470.8,2.1557486,2.235884,0.8999991,0.0,0.9,0.8999991,0.0,0.8372114468,0.0
866947.0,2.1010625,2.1147539,0.8999991,0.0,0.9,0.8999991,0.0,0.7958326759,0.0
933307.3,2.0480059,2.0006764,0.899999,0.1343637,0.9,0.8984409,0.0007749,0.7566576264,3.5135e-06
1005348.2,1.9962904,1.8912929,0.899999,0.2072961,0.9,0.8939029,0.0035805,0.7193506187,4.29402e-05
1083506.7,1.9459653,1.787354,0.899999,0.2834534,0.9,0.8835312,0.0096959,0.6837648312,0.0002160785
1168244.7,1.8970584,1.6898518,0.899999,0.3059894,0.9,0.8778255,0.0164679,0.6498586609,0.0004992408
1260070.3,1.8495688,1.596717,0.899999,0.3643864,0.9,0.8605972,0.0348583,0.6167655049,0.0016747995
1359891.9,1.8033875,1.5083617,0.899999,0.3964319,0.9,0.8461995,0.0488832,0.5852571424,0.0028154417
1468324.5,1.7585646,1.4249207,0.899999,0.434137,0.9,0.8255703,0.0691423,0.5543979094,0.0048156502
1586151.2,1.7150805,1.346672,0.899999,0.4546093,0.9,0.8092874,0.0852192,0.5252550335,0.0065237758
1713951.7,1.673021,1.2727466,0.8999989,0.4809099,0.9,0.7867907,0.1075143,0.4965338452,0.0092152992
1852784.0,1.6323193,1.2034598,0.8999989,0.5068307,0.9,0.760735,0.1334221,0.4683330899,0.0126788729
2004538.9,1.5927402,1.1382281,0.8999989,0.516715,0.9,0.7430802,0.1510153,0.4424873391,0.0148750388
2170273.5,1.5543514,1.0771597,0.8999989,0.5388005,0.9,0.7133893,0.1836321,0.4149659091,0.0198162397
2350998.0,1.5172147,1.0206149,0.8999989,0.5504992,0.9,0.689566,0.2044792,0.3906254953,0.0226249245
2548228.1,1.4813133,0.9677699,0.8999989,0.5628771,0.9,0.6628528,0.2312251,0.3661303431,0.0265692565
2763461.9,1.4466641,0.9189462,0.8999989,0.5756009,0.9,0.6334477,0.2607005,0.3420106461,0.0310724938
2998386.7,1.4132597,0.8744576,0.8999989,0.5857826,0.9,0.6044792,0.2897673,0.3188937441,0.0354496026
3254265.7,1.3811494,0.8336474,0.8999988,0.5962175,0.9,0.5732664,0.3211141,0.2961841297,0.0402720396
3534021.4,1.3502303,0.7967058,0.8999988,0.6020363,0.9,0.5455885,0.3489319,0.275160609,0.0441465182
3839512.4,1.3205359,0.7639068,0.8999988,0.6060836,0.9,0.5186475,0.3760261,0.2551992823,0.0476667605
4172391.1,1.2921148,0.7347801,0.8999988,0.6126659,0.9,0.4873792,0.4074912,0.2350530152,0.0520552527
4535461.4,1.2649454,0.709567,0.8999988,0.6231401,0.9,0.4500165,0.4451134,0.2141624477,0.0578055735
4930160.2,1.2391093,0.688428,0.8999988,0.6258779,0.9,0.4215461,0.4737978,0.1963530772,0.0610827519
5359796.9,1.2145538,0.6713908,0.8999988,0.6305496,0.9,0.3899766,0.50562,0.1785165175,0.0649148335
5825199.7,1.1913857,0.6586535,0.8999987,0.6352121,0.9,0.3581072,0.5377599,0.1613706333,0.0685878093
6328310.8,1.1696257,0.6504418,0.8999987,0.6397748,0.9,0.3263391,0.5698126,0.1449852593,0.0719891226
6872363.6,1.1492468,0.646978,0.8999987,0.6411501,0.9,0.2985977,0.5978143,0.1303860983,0.0740200242
7456516.6,1.1303255,0.6488332,0.8999987,0.648294,0.9,0.2645815,0.6321645,0.1147247025,0.0775394333
8079500.2,1.1129653,0.6557135,0.8999987,0.6536826,0.9,0.2338088,0.6587907,0.101844293,0.0787105415
8740321.3,1.0972078,0.6683105,0.8999986,0.6575324,0.9,0.2060892,0.6886001,0.0886786171,0.080579656
9436964.2,1.0830934,0.6868364,0.8999986,0.6562568,0.9,0.1847753,0.7116059,0.0779958961,0.0803652817
10161841.3,1.0706843,0.7117373,0.8999986,0.6662703,0.9,0.1548342,0.7420616,0.0656950391,0.0822228597
10912837.9,1.0598784,0.7428391,0.8999986,0.6711871,0.9,0.1318813,0.7645148,0.0561433848,0.0817414952
11668462.2,1.050806,0.7795708,0.8999985,0.6754325,0.9,0.112002,0.7848821,0.047644941,0.0808200036
