age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
504121.4,3.2313917,3.2232099,0.9999992,0.0,1.0,0.9999992,0.0,2.0613856012,0.0
539964.7,3.1473638,3.0570632,0.9999991,0.0,1.0,0.9999991,0.0,1.9574274754,0.0
578756.0,3.0655661,2.8983556,0.9999991,0.0,1.0,0.9999991,0.0,1.8587299051,0.0
620585.5,2.9862017,2.7485618,0.9999991,0.0,1.0,0.9999991,0.0,1.7653315932,0.0
665945.8,2.9088007,2.6044643,0.9999991,0.0,1.0,0.9999991,0.0,1.676493592,0.0
715317.1,2.8330943,2.4661583,0.9999991,0.0,1.0,0.9999991,0.0,1.5917531116,0.0
768509.6,2.7597992,2.3358541,0.9999991,0.0,1.0,0.9999991,0.0,1.511742878,0.0
826221.3,2.6883567,2.2109155,0.9999991,0.0,1.0,0.9999991,0.0,1.4356847159,0.0
888523.9,2.6190792,2.092524,0.999999,0.0,1.0,0.999999,0.0,1.3637538855,0.0
956009.8,2.5516666,1.9800046,0.999999,0.0,1.0,0.999999,0.0,1.2954846291,0.0
1029174.6,2.4860511,1.8724461,0.999999,0.0,1.0,0.999999,0.0,1.230674332,0.0
1108494.1,2.4222048,1.7704636,0.999999,0.0,1.0,0.999999,0.0,1.1691666943,0.0
1193928.4,2.360473,1.6737403,0.999999,0.0,1.0,0.999999,0.0,1.1111559665,0.0
1287310.4,2.2999398,1.5811123,0.999999,0.0,1.0,0.999999,0.0,1.0556680462,0.0
1388718.9,2.241005,1.4928893,0.999999,0.0,1.0,0.999999,0.0,1.0029776683,0.0
1497959.9,2.1840714,1.4098551,0.9999989,0.0,1.0,0.9999989,0.0,0.9533259057,0.0
1616518.0,2.1286639,1.3307001,0.9999989,0.0,1.0,0.9999989,0.0,0.9061860468,0.0
1745065.8,2.0748,1.2558898,0.9999989,0.0,1.0,0.9999989,0.0,0.8614800321,0.0
1885732.7,2.021988,1.1842625,0.9999989,0.0,1.0,0.9999989,0.0,0.8187208861,0.0
2037045.6,1.9710937,1.116858,0.9999989,0.0,1.0,0.9999989,0.0,0.7785206067,0.0
2202961.5,1.9211165,1.0523895,0.9999989,0.0,1.0,0.9999989,0.0,0.7400070014,0.0
2382306.9,1.8728086,0.9903263,0.9999989,0.0,1.0,0.9999989,0.0,0.7036876331,0.0
2576718.0,1.8258806,0.9344394,0.9999988,0.1819368,1.0,0.9939997,0.0033455,0.6692207137,2.99164e-05
2789912.9,1.7799101,0.8799507,0.9999988,0.2395226,1.0,0.9854621,0.0126555,0.6360401406,0.0002627355
3022257.6,1.7351666,0.8284632,0.9999988,0.2799029,1.0,0.9753318,0.0224673,0.6043244565,0.0006539693
3268796.7,1.6927658,0.7811699,0.9999988,0.3192869,1.0,0.9612637,0.0351048,0.5746273851,0.0013183326
3543685.0,1.6505703,0.7357073,0.9999988,0.3626628,1.0,0.9402156,0.0543201,0.5450403095,0.0026168847
3844108.5,1.6095248,0.6930026,0.9999988,0.386517,1.0,0.9231661,0.0710485,0.5167871707,0.0039136335
4170938.8,1.5698175,0.6532683,0.9999988,0.4204079,1.0,0.8961215,0.0977412,0.4887299926,0.0063962893
4526813.1,1.5314011,0.616238,0.9999988,0.4354002,1.0,0.8773678,0.1194731,0.4622803255,0.0085506284
4915337.8,1.4941784,0.5817623,0.9999987,0.4593738,1.0,0.8484936,0.1450277,0.4363758995,0.0113096917
5339905.1,1.4581202,0.5497759,0.9999987,0.4791052,1.0,0.8190471,0.1776596,0.4103812032,0.0152270626
5805989.5,1.4230868,0.52008,0.9999987,0.4936473,1.0,0.7909777,0.2040587,0.3861252952,0.0183291693
6305101.0,1.3898859,0.4932571,0.9999987,0.5087097,1.0,0.759548,0.2338398,0.3626281467,0.0220206403
6859145.4,1.3573383,0.4682337,0.9999987,0.5166103,1.0,0.7331881,0.2635238,0.3397494305,0.0256774998
7467928.6,1.325824,0.4453122,0.9999987,0.5302803,1.0,0.6973122,0.2962042,0.317138754,0.0298197978
8130247.1,1.2956689,0.4246589,0.9999986,0.5413359,1.0,0.6620647,0.3315797,0.2949559738,0.0344235904
8854939.7,1.2667069,0.4060746,0.9999986,0.5455467,1.0,0.63381,0.35996,0.2749595229,0.0375707571
9651617.1,1.2388334,0.3895602,0.9999986,0.5544592,1.0,0.5970895,0.3968709,0.254067872,0.0422229732
10520915.3,1.2122899,0.3752279,0.9999986,0.5612688,1.0,0.5615873,0.4325831,0.2342530261,0.046483547
11462889.2,1.1872503,0.3632721,0.9999986,0.5663215,1.0,0.5273964,0.4669979,0.2156054624,0.0502977382
12484117.1,1.1636926,0.3535642,0.9999986,0.5733286,1.0,0.4892512,0.5054156,0.1969478297,0.0547623867
13620622.7,1.1410885,0.3461849,0.9999985,0.5780464,1.0,0.4530483,0.5418977,0.1792652542,0.0584855889
14862151.5,1.1199413,0.3415669,0.9999985,0.5810021,1.0,0.4188051,0.5740263,0.1632977517,0.0609465624
16200497.4,1.100561,0.3401147,0.9999985,0.5856088,1.0,0.382069,0.6134774,0.1465157161,0.0647743569
17669183.8,1.0826102,0.3423237,0.9999985,0.5926023,1.0,0.3417309,0.6521315,0.130505438,0.0680657369
19258255.4,1.066373,0.3489209,0.9999985,0.5962645,1.0,0.3067054,0.6895508,0.115431441,0.0707572822
20950599.6,1.051995,0.3605823,0.9999984,0.6011481,1.0,0.2712715,0.7219246,0.1022144172,0.07200258
22755016.0,1.0392708,0.3780736,0.9999984,0.6082118,1.0,0.2347983,0.7591719,0.0883994765,0.0741250836
24646916.5,1.0282271,0.4017817,0.9999984,0.6099826,1.0,0.2065477,0.7866764,0.0774830778,0.0737050787
26571549.7,1.0189498,0.431275,0.9999983,0.6147088,1.0,0.1777265,0.8187232,0.066024197,0.0744239307
28505230.7,1.0113526,0.4661322,0.9999983,0.6188277,1.0,0.1524851,0.843365,0.0568901799,0.0734569759
30405121.4,1.005262,0.5049322,0.9999983,0.6251724,1.0,0.1286986,0.8686321,0.0480411903,0.0729944068
32267652.1,1.0003074,0.5470281,0.9999982,0.6324908,1.0,0.1075404,0.8909494,0.0402699927,0.0722049514
34111514.8,0.9957756,0.5907853,0.9999982,0.6394324,1.0,0.0895811,0.907845,0.0341600484,0.0704288357
35967490.6,0.9902992,0.6324553,0.9999982,0.6436466,1.0,0.0754777,0.9223211,0.0288594386,0.0685223454
37935849.2,0.9807026,0.6639388,0.9999981,0.6485012,1.0,0.0625206,0.9351574,0.0240481099,0.0667830378
40068107.6,0.9619154,0.6676374,0.999998,0.6465952,1.0,0.0535884,0.9448051,0.0201089166,0.0651993383
42217720.2,0.9347251,0.6372186,0.999998,0.6373067,1.0,0.04903,0.94949,0.0176716365,0.0636890645
44502577.8,0.9057125,0.5901541,0.9999979,0.6238209,1.0,0.0475923,0.9509679,0.0163045603,0.0622823361
47586042.2,0.8797159,0.5412138,0.9999979,0.6109645,1.0,0.0475922,0.9509679,0.0155387374,0.0611677533
52230706.5,0.865914,0.5110702,0.9999978,0.602358,1.0,0.0490298,0.94949,0.0155412468,0.0605581157
54024364.1,0.8644248,0.5067794,0.9999978,0.6021397,1.0,0.0490298,0.94949,0.0155134997,0.0606196309
70041582.6,0.8658343,0.5020571,0.9999975,0.6019762,1.0,0.0505074,0.947971,0.0159962054,0.0609585502
109897547.8,0.8699957,0.50672,0.9999968,0.6016375,1.0,0.0520258,0.9464096,0.0165280504,0.0609940143
209071943.1,0.8735318,0.516578,0.999995,0.6054752,1.0,0.050505,0.947971,0.0162205061,0.0610895722
455849574.5,0.8783367,0.5276205,0.9999905,0.6068204,1.0,0.0505005,0.947971,0.016333088,0.060927656
937387923.1,0.8855251,0.5414307,0.9999815,0.60964,1.0,0.0504914,0.947971,0.0165280117,0.0609387929
1437387923.1,0.8926358,0.5554632,0.9999717,0.6157911,1.0,0.0490038,0.94949,0.0163397177,0.0612949709
1937387923.1,0.8998742,0.5699047,0.9999617,0.6185097,1.0,0.0489937,0.94949,0.0165287622,0.0612693699
2437387923.1,0.9073608,0.5849665,0.9999513,0.6248933,1.0,0.0475456,0.9509679,0.0163470599,0.0616239751
2937387923.1,0.9151673,0.6007629,0.9999405,0.6278858,1.0,0.0475349,0.9509679,0.0165497577,0.0616093188
3437387923.1,0.923345,0.6173704,0.9999294,0.6310486,1.0,0.0475237,0.9509679,0.0167643747,0.0616038854
3937387923.1,0.9319297,0.634887,0.9999178,0.6399578,1.0,0.0454287,0.9538042,0.0162303524,0.0623708073
4437387923.1,0.940986,0.6533712,0.9999058,0.643619,1.0,0.0454167,0.9538042,0.0164644597,0.0624018626
4937387923.1,0.9505579,0.672908,0.9998933,0.6475474,1.0,0.0454042,0.9538042,0.0167155777,0.0624536038
5437387923.1,0.9607168,0.6935667,0.9998803,0.6537416,1.0,0.0447158,0.9544891,0.0167931662,0.0627280401
5937387923.1,0.9714942,0.7154673,0.9998667,0.6623068,1.0,0.0433792,0.9551645,0.0168879756,0.0630394121
6437387923.1,0.9829728,0.738698,0.9998526,0.6674178,1.0,0.043365,0.9551645,0.0171994919,0.0631992895
6937387923.1,0.9952349,0.7633915,0.9998378,0.6729798,1.0,0.0433503,0.9551645,0.0175386094,0.0634056738
7437387923.1,1.0083873,0.7896844,0.9998223,0.6853165,1.0,0.0414181,0.9564875,0.0175059959,0.0640717375
7937387923.1,1.0224723,0.8177742,0.9998061,0.6921649,1.0,0.0414019,0.9564875,0.0179059118,0.0644055198
8437387923.1,1.0376648,0.8478886,0.999789,0.6997348,1.0,0.0413848,0.9564875,0.018348145,0.064816186
8937387923.1,1.0541137,0.8802952,0.999771,0.7081428,1.0,0.0413668,0.9564875,0.0188398318,0.0653184676
9437387923.1,1.0720109,0.9152096,0.999752,0.7175449,1.0,0.0413478,0.9564875,0.0193904241,0.0659342291
9937387923.1,1.091482,0.9525872,0.9997319,0.7281684,1.0,0.0413278,0.9564875,0.0200113564,0.0667076069
10437387923.1,1.112479,0.9917916,0.9997106,0.7402393,1.0,0.0413064,0.9564875,0.020712215,0.0676989693
10923383137.8,1.1344326,1.0309328,0.9996887,0.7463532,1.0,0.0432012,0.9551645,0.0219761064,0.06847424
11257112103.2,1.151043,1.0603141,0.9996728,0.7567006,1.0,0.0431853,0.9551645,0.0225946132,0.0694829994
11490435775.9,1.1638733,1.0835835,0.9996613,0.7568354,1.0,0.0451722,0.9538042,0.0235940927,0.0697206413
11687109247.2,1.1755803,1.1050553,0.9996512,0.7639241,1.0,0.0451621,0.9538042,0.0240458201,0.0703976493
11864972742.2,1.1868214,1.1256859,0.9996419,0.7707984,1.0,0.0451528,0.9538042,0.0244861477,0.0710647747
12029037401.9,1.1978155,1.1457616,0.999633,0.7776043,1.0,0.0451439,0.9538042,0.024923777,0.0717389451
12181225339.6,1.2085425,1.1652887,0.9996246,0.7760922,1.0,0.0472189,0.9509679,0.0264964124,0.0712825688
12322396131.9,1.2190287,1.1841832,0.9996165,0.782683,1.0,0.0472109,0.9509679,0.026947147,0.0719582562
12453298869.8,1.2292267,1.2024001,0.9996089,0.7835381,1.0,0.0486409,0.94949,0.0279942597,0.072043401
12574561867.9,1.2391291,1.2199469,0.9996016,0.7899169,1.0,0.0486337,0.94949,0.0284448541,0.0727262682
12686917146.2,1.2487208,1.236717,0.9995948,0.7961892,1.0,0.0486269,0.94949,0.0288886353,0.0734157172
12790955765.5,1.2579574,1.2528269,0.9995883,0.7964649,1.0,0.0500983,0.947971,0.0299612172,0.0734682162
12887354215.2,1.266866,1.2681766,0.9995822,0.8024523,1.0,0.0500921,0.947971,0.0303976713,0.0741530422
12976767190.5,1.2754521,1.2828312,0.9995764,0.8023073,1.0,0.0516054,0.9464096,0.0314904443,0.0741730697
13059826991.4,1.2837515,1.2968647,0.9995709,0.8080141,1.0,0.0516,0.9464096,0.031919357,0.0748493491
13137128186.3,1.2917461,1.3101808,0.9995657,0.8136058,1.0,0.0515948,0.9464096,0.0323395547,0.0755269349
13209153563.7,1.2994334,1.3228911,0.9995608,0.8128851,1.0,0.0531512,0.9448051,0.0334512656,0.0754992821
13276387854.1,1.3068736,1.3350083,0.9995562,0.8182106,1.0,0.0531465,0.9448051,0.0338633451,0.0761654502
13357678013.1,1.3161842,1.3500325,0.9995505,0.8186628,1.0,0.0547454,0.9431561,0.0351182342,0.0762973421
13549509160.6,1.3396577,1.3866222,0.9995366,0.8296728,1.0,0.0563804,0.9414618,0.0372839416,0.077833761
13803403635.8,1.3747288,1.4388376,0.9995172,0.8437524,1.0,0.0597964,0.9385992,0.0409038448,0.0803661742
14023521601.6,1.410363,1.487273,0.9994994,0.8562735,1.0,0.064342,0.9322685,0.0465793134,0.0818572576
14205234727.2,1.4461423,1.5304723,0.9994838,0.8577765,1.0,0.0728213,0.9245204,0.0534787316,0.08337129
14349162558.1,1.4788516,1.5638945,0.9994708,0.8669789,1.0,0.0794078,0.917156,0.0605010221,0.0853562319
14475544384.8,1.5106135,1.5914746,0.999459,0.8685319,1.0,0.0890419,0.907845,0.0689951498,0.0868798906
14585433511.5,1.5418914,1.6136066,0.9994482,0.8701512,1.0,0.0997283,0.8968702,0.0789474096,0.0881644104
14678984383.9,1.5724029,1.6304213,0.9994388,0.8714955,1.0,0.1115636,0.8847229,0.0901526287,0.0894030046
14757988355.1,1.602197,1.6421751,0.9994306,0.8632509,1.0,0.1281309,0.8686321,0.1040424494,0.0892173626
14824503819.2,1.6311411,1.6500643,0.9994236,0.870066,1.0,0.1400441,0.8555186,0.1172066599,0.0909129511
14881011133.5,1.6595881,1.6551587,0.9994174,0.8690079,1.0,0.1560524,0.8391174,0.1328068759,0.0913628623
14929424455.1,1.6877196,1.6592832,0.9994121,0.8587751,1.0,0.1771402,0.8187232,0.1511729515,0.0901125111
14971639702.6,1.7159678,1.6635132,0.9994073,0.8517045,1.0,0.1980875,0.7987359,0.1702372594,0.0892652064
15009006708.3,1.7445665,1.6693768,0.999403,0.8425372,1.0,0.2211065,0.7754413,0.1917924784,0.0869493317
15042597166.9,1.7739566,1.6780933,0.999399,0.8308112,1.0,0.2463857,0.749868,0.2153518534,0.0836220614
