age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
501071.7,3.1800365,4.6807002,1.1999989,0.0,1.2,1.1999989,0.0,2.4167335522,0.0
537155.4,3.0974585,4.4452164,1.1999988,0.0,1.2,1.1999988,0.0,2.2945682264,0.0
575927.9,3.0175017,4.2215772,1.1999988,0.0,1.2,1.1999988,0.0,2.1792202834,0.0
617828.5,2.9396204,4.0097796,1.1999988,0.0,1.2,1.1999988,0.0,2.0696573571,0.0
663122.7,2.8637503,3.8060939,1.1999988,0.0,1.2,1.1999988,0.0,1.9655784769,0.0
711984.5,2.7900119,3.6124436,1.1999988,0.0,1.2,1.1999988,0.0,1.8669341394,0.0
764863.3,2.7181501,3.4267711,1.1999987,0.0,1.2,1.1999987,0.0,1.7731849077,0.0
821857.8,2.6482918,3.2633559,1.1999987,0.0,1.2,1.1999987,0.0,1.6843246674,0.0
883128.3,2.5807171,3.0847436,1.1999987,0.2110201,1.2,1.1959834,0.0020782,1.6004390769,2.38417e-05
949852.5,2.5145322,2.9238309,1.1999987,0.2503013,1.2,1.1927984,0.0040153,1.5202510337,6.79551e-05
1021662.8,2.4504928,2.772956,1.1999987,0.3427003,1.2,1.1804226,0.0150545,1.4440260327,0.0005898467
1099697.1,2.3879952,2.6278351,1.1999987,0.4189439,1.2,1.1621942,0.0309734,1.3705760155,0.0018752031
1184240.9,2.3272603,2.4898792,1.1999986,0.4578171,1.2,1.1474484,0.0435333,1.3007547398,0.0031535964
1275683.7,2.2683827,2.3600502,1.1999986,0.5060302,1.2,1.1249147,0.0684559,1.2324810768,0.0064310751
1374885.4,2.2112007,2.2369443,1.1999986,0.5520232,1.2,1.0971695,0.0957277,1.1663303422,0.010781261
1482377.4,2.1557827,2.1203431,1.1999986,0.5767505,1.2,1.0753238,0.1173102,1.1039740769,0.0144493896
1599254.1,2.1019669,2.0107583,1.1999986,0.6144186,1.2,1.0413646,0.1509873,1.0414136928,0.0211076329
1725837.6,2.049963,1.9072424,1.1999986,0.6350299,1.2,1.014256,0.1779516,0.9829542279,0.0265205134
1863782.9,1.9994847,1.8099247,1.1999985,0.6566254,1.2,0.9828174,0.209288,0.9256181526,0.0332309643
2013625.2,1.9507005,1.7192048,1.1999985,0.6830585,1.2,0.9431692,0.2488855,0.8681500551,0.0425296069
2177094.4,1.9034421,1.634,1.1999985,0.6966181,1.2,0.9114047,0.2806592,0.8150674761,0.0495947302
2355109.9,1.8578248,1.5547775,1.1999985,0.7148062,1.2,0.8718953,0.3202298,0.7616562718,0.0591235401
2548684.2,1.8139258,1.4821572,1.1999985,0.7259687,1.2,0.8367103,0.3555081,0.7118196943,0.0671599541
2760039.1,1.7715791,1.4149718,1.1999985,0.7376996,1.2,0.7982072,0.394149,0.6628203114,0.0761567799
2990787.3,1.7308419,1.3537209,1.1999984,0.7466174,1.2,0.7604846,0.4320379,0.6160706995,0.0846223634
3242030.4,1.6918393,1.2987705,1.1999984,0.7588511,1.2,0.7164154,0.4763356,0.5689610507,0.0951567709
3516758.7,1.654439,1.2497964,1.1999984,0.7654294,1.2,0.6772961,0.5156853,0.5255422351,0.1034479654
3816600.4,1.618748,1.2073743,1.1999984,0.769712,1.2,0.6394928,0.5537333,0.4845246392,0.1107497649
4144140.5,1.5848111,1.1711332,1.1999984,0.7791423,1.2,0.5933819,0.6001696,0.4420286458,0.1208195584
4501495.4,1.5527327,1.1418688,1.1999983,0.7859185,1.2,0.5495883,0.6442976,0.4021981061,0.1294442188
4891250.3,1.5226048,1.1202387,1.1999983,0.7881299,1.2,0.511038,0.6802496,0.3674409344,0.1341107658
5316504.4,1.4945209,1.1064329,1.1999983,0.796586,1.2,0.463681,0.7309262,0.3282961596,0.1441467903
5779001.1,1.4687295,1.1018802,1.1999983,0.8024718,1.2,0.4197649,0.7752425,0.2933831701,0.1509019404
6282849.9,1.4453614,1.107379,1.1999982,0.807815,1.2,0.376911,0.8185068,0.2604291309,0.1564638025
6829819.7,1.424768,1.1252244,1.1999982,0.8161928,1.2,0.3314628,0.8644113,0.2277777611,0.162434962
7422647.3,1.40742,1.1568652,1.1999982,0.825414,1.2,0.2869923,0.9056539,0.1985367041,0.1656083087
8057657.3,1.3939944,1.2059917,1.1999981,0.8372221,1.2,0.2429055,0.9523223,0.1681490777,0.1706415002
8711905.6,1.3853573,1.2727823,1.1999981,0.8476645,1.2,0.2047894,0.9910955,0.1427202548,0.1721167265
9352610.7,1.3819757,1.3567491,1.1999981,0.8630479,1.2,0.1685607,1.0268049,0.1200353089,0.1730207313
9963999.7,1.3835066,1.4555389,1.199998,0.8836659,1.2,0.1353108,1.0608821,0.0989990228,0.1744635221
10526783.6,1.3892343,1.5655824,1.199998,0.9026444,1.2,0.1096444,1.0887914,0.0816077483,0.174611533
11038175.1,1.3981118,1.6844063,1.1999979,0.9245264,1.2,0.0878611,1.109569,0.0682902033,0.1727365843
11500236.2,1.4089253,1.8092472,1.1999979,0.9432195,1.2,0.0716834,1.1261855,0.057397951,0.1701515242
11929085.6,1.4212433,1.9404854,1.1999979,0.9693119,1.2,0.0561689,1.1421303,0.0467870411,0.1683806103
12326510.0,1.4341092,2.0766435,1.1999978,1.0006502,1.2,0.0425128,1.1561741,0.0370658829,0.1666656339
12696971.0,1.4466208,2.2149936,1.1999978,1.0255409,1.2,0.0330133,1.1664707,0.029502818,0.163560188
13048035.6,1.4581386,2.3544513,1.1999978,1.0567091,1.2,0.0243572,1.1748627,0.0230104525,0.1599335608
13382078.1,1.4678311,2.4922306,1.1999977,1.0815973,1.2,0.0183102,1.1810937,0.017901666,0.155434662
13702991.7,1.4751384,2.6253819,1.1999977,1.1085501,1.2,0.0132722,1.1862886,0.0134391007,0.1507494693
14013245.0,1.479488,2.7518258,1.1999976,1.134224,1.2,0.0094231,1.1902603,0.0098488608,0.1456482006
14316492.4,1.4807067,2.8690652,1.1999976,1.1579175,1.2,0.0065536,1.193223,0.0070414503,0.1402083632
14611749.5,1.478268,2.9731432,1.1999976,1.1772817,1.2,0.0045413,1.1953017,0.0049818415,0.1345729458
14899804.2,1.4720757,3.0597559,1.1999975,1.1962022,1.2,0.0030325,1.1968608,0.0033888164,0.1290781219
