age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
500442.8,3.5089285,4.3180215,1.1999989,0.0,1.2,1.1999989,0.0,2.925128513,0.0
535896.5,3.4175327,4.1036195,1.1999989,0.0,1.2,1.1999989,0.0,2.7770818367,0.0
574302.1,3.3283154,3.8989726,1.1999989,0.0,1.2,1.1999989,0.0,2.6361618822,0.0
615647.8,3.2417482,3.703854,1.1999989,0.0,1.2,1.1999989,0.0,2.5028354756,0.0
660476.6,3.1572116,3.5161862,1.1999989,0.0,1.2,1.1999989,0.0,2.3758885706,0.0
708835.8,3.0751022,3.337234,1.1999989,0.0,1.2,1.1999989,0.0,2.2556678796,0.0
761131.5,2.9951671,3.1673161,1.1999988,0.0,1.2,1.1999988,0.0,2.1415544803,0.0
817492.3,2.9176146,3.0055176,1.1999988,0.0,1.2,1.1999988,0.0,2.0336000845,0.0
878622.0,2.8419023,2.8501199,1.1999988,0.0,1.2,1.1999988,0.0,1.9308348137,0.0
944052.9,2.7689507,2.7034567,1.1999988,0.0,1.2,1.1999988,0.0,1.8342771979,0.0
1015266.8,2.6974801,2.5629505,1.1999988,0.0,1.2,1.1999988,0.0,1.7420242993,0.0
1092102.0,2.6281127,2.4288355,1.1999987,0.0,1.2,1.1999987,0.0,1.6547088706,0.0
1175278.9,2.5605514,2.3019941,1.1999987,0.0,1.2,1.1999987,0.0,1.5717776492,0.0
1265503.6,2.4946505,2.179997,1.1999987,0.0,1.2,1.1999987,0.0,1.4928938924,0.0
1362497.3,2.4309582,2.0643762,1.1999987,0.0,1.2,1.1999987,0.0,1.4185402635,0.0
1467841.8,2.368779,1.954038,1.1999987,0.0,1.2,1.1999987,0.0,1.3477462599,0.0
1582161.6,2.3081796,1.8483978,1.1999987,0.0,1.2,1.1999987,0.0,1.2804559536,0.0
1705305.8,2.2495315,1.7496689,1.1999986,0.2239042,1.2,1.1927984,0.0040153,1.2168640537,5.43815e-05
1839354.3,2.1922489,1.6546872,1.1999986,0.2802418,1.2,1.1849441,0.0072003,1.1562041901,0.0001369392
1984616.3,2.1366124,1.5645306,1.1999986,0.3417742,1.2,1.1710291,0.0195761,1.0981841961,0.0006947677
2140953.1,2.0829721,1.4795369,1.1999986,0.3835816,1.2,1.1564653,0.0392572,1.042606517,0.0021236318
2312236.2,2.030397,1.3984414,1.1999986,0.4383213,1.2,1.1315427,0.0619732,0.9884600946,0.0043553365
2498313.4,1.9793778,1.3220436,1.1999986,0.468415,1.2,1.1112684,0.0818457,0.936881069,0.0066169929
2700836.0,1.9298445,1.2496263,1.1999985,0.5049837,1.2,1.0826883,0.1100259,0.8861955661,0.0103839062
2919104.1,1.8822632,1.1822937,1.1999985,0.5297303,1.2,1.0566053,0.1396176,0.8375594302,0.0148000983
3159211.6,1.8356847,1.1183012,1.1999985,0.5547883,1.2,1.0259341,0.1701912,0.7901340101,0.0197023373
3420844.3,1.7906064,1.0586317,1.1999985,0.5753852,1.2,0.9946525,0.1974836,0.7452592413,0.0240992315
3701447.5,1.747681,1.0037064,1.1999985,0.5924986,1.2,0.963021,0.2290491,0.7018794741,0.0295080741
4012697.2,1.7054893,0.9518799,1.1999985,0.613564,1.2,0.9233083,0.2687472,0.6576675186,0.0368902553
4351880.1,1.6648489,0.9040372,1.1999984,0.6307708,1.2,0.8837096,0.3083917,0.6150844381,0.0444005906
4722785.4,1.6256281,0.860182,1.1999984,0.6414329,1.2,0.8483863,0.3437972,0.5751728111,0.0507748616
5129260.2,1.5877839,0.8200306,1.1999984,0.65252,1.2,0.8096819,0.3826295,0.5358809029,0.0579224382
5573747.2,1.5514293,0.7838144,1.1999984,0.6582075,1.2,0.7754717,0.4169812,0.4994429434,0.0635986845
6057300.2,1.5167491,0.7517802,1.1999984,0.66989,1.2,0.7309501,0.4617217,0.4617028673,0.0720086469
6585108.9,1.4836322,0.7237412,1.1999983,0.6764201,1.2,0.6913732,0.5050791,0.4258353111,0.0797695604
7165264.7,1.4518998,0.6996482,1.1999983,0.6853251,1.2,0.646265,0.5469157,0.3917583455,0.0866883056
7791760.0,1.4221274,0.6800728,1.1999983,0.6898461,1.2,0.6063227,0.5871288,0.3598563046,0.0927491804
8479815.0,1.3938413,0.6650396,1.1999983,0.7005436,1.2,0.5557007,0.638137,0.3257918277,0.1017407949
9237077.4,1.3670935,0.6549208,1.1999983,0.7005201,1.2,0.5197486,0.6743782,0.2976875019,0.1054133375
10062940.3,1.342244,0.6503762,1.1999982,0.7100703,1.2,0.469072,0.7227501,0.2669845881,0.1124537251
10952863.5,1.3196544,0.6523747,1.1999982,0.7155067,1.2,0.4247557,0.7702051,0.2379530849,0.1187336781
11928901.9,1.2990588,0.6617657,1.1999982,0.7202012,1.2,0.3814914,0.8092113,0.2128704254,0.121439483
12984471.3,1.2809733,0.6798917,1.1999982,0.7309148,1.2,0.3314627,0.8644113,0.1833902862,0.129097349
