PLANETARY_MASS,R
MSINI[mjupiter] / sin(I[rad]),rjupiter
0.8898360537270782,1.1399999857
3.5530594951889998,1.1799999475
1.0174599564301947,1.3200000525
0.8277658087488157,1.5160000324
1.0065664001292258,1.1599999666
0.2922732893107487,1.1319999695
4.202495521919788,1.2890000343
0.6278331039557632,1.2120000124
10.200602185594123,1.2669999599
0.950806193591498,2.0369999409
0.7790041210670766,1.1069999933
0.11956117208113558,1.2100000381
1.4724432437017554,1.1529999971
0.5397553543733004,0.9100000262
0.5671805683473131,1.1900000572
0.5590586828119516,1.1200000048
13.284856740064773,1.2170000076
0.7170980553996283,1.3200000525
0.3782312355573169,1.1150000095
1.1079177361363592,1.2899999619
1.3606334709046335,1.7899999619
3.48652263685108,1.3099999428
0.9191796098656294,1.4400000572
0.8722257572062078,0.9620000124
0.462536891603394,1.3880000114
1.0297901870318713,1.4900000095
1.3109877128084706,0.8849999905
7.694642321511515,1.0900000334
0.6858567532898567,1.2419999838
0.7766012010694718,1.3999999762
7.289531417067547,0.8669999838
0.7663406375476035,1.8270000219
1.1525066315717634,1.0299999714
0.5665398028247612,0.9829999804
1.054216178012324,1.3320000172
0.7110884958748193,1.3400000334
0.8570797256849978,1.2810000181
0.4793857119220488,1.3890000582
1.1333931289025674,1.3860000372
1.7760879535755085,0.9300000072
2.151368458866365,1.0800000429
0.7572773940497397,1.3600000143
1.1772560458154129,1.2000000477
1.2560057633513249,1.0930000544
0.5487369234234252,1.050999999
0.583353555208861,1.2200000286
4.574423103233426,1.6100000143
1.0245010117166458,1.1299999952
0.47932924244177916,1.5369999409
4.078328122597256,1.0240000486
1.8392342724040147,1.2640000582
0.9324928776982168,1.2000000477
0.49696822524486184,1.0629999638
0.5784699376492015,1.2200000286
0.5957123363538723,0.898999989
2.4840938617245896,1.1440000534
0.542796729371277,1.3789999485
0.21080375653186587,0.9589999914
0.05864885672070862,0.5649999976
0.8422938398403021,1.0080000162
0.28433847147213265,1.2699999809
7.692340509741352,1.2810000181
1.7936156691500926,1.1599999666
0.616565571969016,1.0379999876
1.0910004219451575,1.2999999523
0.6715074120710985,1.2740000486
0.5085465926556155,1.932000041
0.918463553812549,1.2059999704
8.870654427242615,1.1569999456
0.19720501399697415,0.9950000048
2.2360310447832683,1.1499999762
0.6266425252,1.25
1.8920981724838772,1.3359999657
0.9202555586384863,1.7510000467
1.3868292178305377,1.3630000353
2.1690446925872005,1.0700000525
1.0556087372914167,1.2539999485
0.8913794739674746,1.3700000048
0.5379816194528243,1.1699999571
2.0118385846183147,1.2899999619
2.4600103409774126,1.0199999809
2.348126641224696,1.4299999475
0.5857416559557826,1.4190000296
1.1736211223017905,1.1779999733
3.231427482695134,1.2000000477
0.752484262,1.0670000315
0.4319557610643473,1.6950000525
1.2007145625539253,1.2239999771
0.4377583398370928,1.4780000448
0.9842364107857343,1.6699999571
3.2752665157762886,1.4659999609
21.854936994049034,1.0099999905
1.801842883496339,1.3630000353
0.5114985511781943,0.9599999785
0.4935446070794168,0.8410000205
0.6624314519763099,0.9599999785
0.6693758723326968,1.3229999542
2.4794289688393136,1.3300000429
2.1166276099925274,1.4309999943
1.0210880529559316,1.2400000095
3.3339992235872664,1.1970000267
1.0897871105907178,1.1640000343
1.7780979343175638,1.2089999914
2.096062285927929,1.3680000305
0.9086590811162172,1.0770000219
0.9192787914443185,0.9150000215
2.1023186030752226,1.3099999428
1.2933622566325953,1.5
0.5323693377279568,1.2419999838
0.30027209782562464,1.0700000525
0.5213595298976,1.2239999771
0.4571646489593677,1.2699999809
3.19144353426241,1.0800000429
1.2231135324799156,1.3409999609
1.0595705658717183,1.3300000429
0.24310086606423276,0.7919999957
1.6242268958025798,1.1399999857
